New	Nouveau
<B>%s</B> has left the room.	<B>%s</B> a quitté le salon.
Sorry, AIM could not join room "%s"\r\nbecause you have made too many requests.\r\nPlease try again later.	AIM n'a pas pu accéder au salon "%s" car vous avez lancé un trop grand nombre de requêtes. Réessayez ultérieurement.
Add To Buddy List	Ajouter au répertoire
At %s %s (warning level %d%%) is inviting you to join the buddy chat room, "%s".	A %s %s (niveau de pénalités %d%%) vous invite à participer au salon de discussion, "%s".
%s writes:	%s écrit :
Decline	Décliner
Decline Invitation	Décliner l'invitation
You've chosen to decline %s's invitation.	Vous avez décliné l'invitation de %s.
This URL contains a space or one of the following\ncharacters that is not permitted in an URL:\n          < > [ ] { } \\ ^ `\nDo you want to keep the URL anyway?	Cette URL contient un espace ou l'un des caractères non autorisés suivants :          < > [ ] { } \\ ^ `Voulez-vous vraiment conserver l'URL ?
Administrator	Administrateur
*Search the Web*	*Rechercher sur le Web*
http://dynamic.aol.com/cgi/redir-complex?s=aimnfwebq=	http://www.recherche.aol.fr/index_.htm?query=
http://www.aol.com/mynews/homeaim.adp	http://www.aol.fr/infos.htm
http://hometown.aol.com	http://hometown.aol.com
http://www.aol.com/netfind/im.html	http://www.aol.com/netfind/im.html
<B>First Name:</B>  %s\r\n<B>Middle Name:</B>  %s\r\n<B>Last Name:</B>  %s\r\n<B>Maiden Name:</B>  %s\r\n<B>Nickname:</B>  %s\r\n<B>Street Address:</B>  %s\r\n<B>City:</B>  %s\r\n<B>State:</B>  %s\r\n<B>Country:</B>  %s\r\n<B>Zip:</B>  %s\r\n<B>Allow only AIM users to see this information:</B>  %s	<B>Prénom :</B>  %s\r\n<B>Nom :</B>  %s\r\n<B>Surnom :</B>  %s\r\n<B>Adresse :</B>  %s\r\n<B>Ville :</B>  %s\r\n<B>Etat :</B>  %s\r\n<B>Pays :</B>  %s\r\n<B>Code postal :</B>  %s\r\n<B>Permettre uniquement aux utilisateurs d'AIM de voir ces informations :</B>  %s
%s\r\nThis file already exists.\r\n\r\nReplace existing file?	%s Ce fichier existe déjà. Voulez-vous remplacer le fichier existant ?
The file was not written.	Le fichier n'a pas été écrit.
Chat Room Info	Informations sur le salon de discussion
Language:	Langue :
Maximum Message Length:	Longueur maximale de message :
Created:	Créé le :
English	Français
French	Français
Spanish	Espagnol
Japanese	Japonais
<B>%s</B> is not accepting chat invitations.	<B>%s</B> n'accepte pas les invitations à une discussion.
Unconfirmed	Enregistrement non confirmé
Internet	Internet
Text	Texte
Font Name	Jeu de caractères
New Font Name...\tCtrl+W	Options... Ctrl+W
Default Font Name...\tCtrl+W	Options par défaut...Ctrl+W
You have made changes in the Preferences dialog\r\nbut have not saved them. Do you want to close the\r\ndialog anyway and lose your changes?	Vous avez effectué des modifications dans la boîte de dialogue des options,\\r\\nmais vous ne les avez pas enregistrées. Voulez-vous quand même fermer\\r\\nla boîte de dialogue ? Vous perdrez alors vos modifications.
Saved Settings (*.blt)|*.blt|All Files (*.*)|*.*|	Paramètres enregistrés (*.blt)|*.blt|Tous (*.*)|*.*|
The screen name is too short or contains invalid characters and cannot be added.	Le pseudonyme est trop court ou contient des caractères non autorisés. Il ne peut donc pas être ajouté au répertoire.
The screen name is an e-mail address.  Would you like to look up the screen name for that e-mail address?	Vous avez entré une adresse électronique au lieu d'un pseudonyme. Voulez-vous connaître le pseudonyme correspondant ?
User <B>%s</B> is temporarily not available.\r\nTry again in a few seconds.	<B>%s</B> est temporairement indisponible. Réessayez dans quelques secondes.
Couldn't import buddy '%s' because the name is invalid.	Impossible d'importer le contact '%s' car son nom est incorrect.
Couldn't export buddy '%s' because the name is invalid.	Impossible d'exporter le contact '%s' ; son nom est incorrect.
Add a Buddy	Nouveau contact
Add a Group	Nouveau groupe
Delete Item	Supprimer un élément
", by	", par
, is registered to handle this type of URL.\r\n\r\nDo you wish to run it?	, est enregistrée pour gérer ce type d'URL. Voulez-vous l'exécuter ?
Do you want to remove '%s' from your Buddy List?\r\n\r\nYou cannot communicate with users not on your Buddy List.	Voulez-vous supprimer '%s' de la liste d'utilisateurs exclus ? Il est impossible de communiquer avec les personnes répertoriées dans cette liste.
http://www.newaol.com/aim/73594/adc.html	http://www.newaol.com/aim/73594/adc.html
Unable to open the file '%s' for saving the buddy list.\r\nMake sure it is writeable before trying again.	Impossible d'ouvrir le fichier '%s' pour enregistrer le répertoire. Assurez-vous qu'il est disponible en écriture et réessayez.
You must choose an interest to search upon.	Vous devez indiquer un centre d'intérêt à rechercher.
Choose Default Application	Sélectionnez une application par défaut
Software\\RealNetworks\\RealPlayer\\CurrentVersion	Software\\RealNetworks\\RealPlayer\\CurrentVersion
Software\\RealNetworks\\RealPlayer\\%s\\Preferences\\MainApp	Software\\RealNetworks\\RealPlayer\\%s\\Preferences\\MainApp
Please provide a first or last name.	Indiquez un nom ou un prénom.
Cannot submit a blank search request.	Impossible de lancer une recherche sans spécifier de critères.
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current Chat Room windows\r\nand try again.	Vous avez ouvert trop de salons. Fermez-en un et réessayez.
Try Again	Réessayer
Buddy Chat Join Error	Erreur liée à l'accès à un salon de discussion
A shortcut to the current window will be placed on your desktop.\r\nIs this ok?	Un raccourci associé à la fenêtre active va être placé sur le bureau. Etes-vous d'accord ?
Slower\tShift+F12	Ralentir Maj+F12
Faster\tCtrl+F12	Accélerer Ctrl+F12
Forward\tF11	Avance F11
Forward A Lot\tCtrl+F11	Avance rapide Ctrl+F11
Back\tShift+F11	Retour Maj+F11
Back A Lot\tCtrl+Shift+F11	Retour rapide Ctrl+Maj+F11
Stop Scroll\tF12	Défilement F12
Start Scroll\tF12	Arrêt du défilement F12
Marquee	Marquee
Your directory entry contains the following character which cannot be used:   %c	Le caractère suivant n'est pas autorisé dans l'annuaire :   %c
Current Browser URL	URL en cours dans le navigateur
Current	En cours
<Beep>	<Bip>
Password	Mot de passe
Version:	Version :
Copyright ©	Copyright ©
(Western),(Symbol),(Japanese),(Hangeul),(Simplified Chinese GB2312),(Traditional Chinese BIG5),(Johab),(Hebrew),(Arabic),(Greek),(Turkish),(Thai),(Central European),(Cyrillic),(Baltic)	(Western),(Symbol),(Japanese),(Hangeul),(Simplified Chinese GB2312),(Traditional Chinese BIG5),(Johab),(Hebrew),(Arabic),(Greek),(Turkish),(Thai),(Central European),(Cyrillic),(Baltic)
Select	Sélectionner
Submit Query	Envoyer la requête
Sorry, could not join Chat Room: %d is an invalid exchange number.	Impossible d'accéder au salon de discussion : %d incorrect.
Sorry, could not join Chat Room: %d is an invalid instance number.	Impossible d'accéder au salon de discussion : %d incorrect.
Chat Room: %s (%d)	Salon de discussion : %s (%d)
Could not set Away state; try again	Impossible d'activer le message d'absence. Réessayez
1 hour	toutes les heures
12 hours	toutes les 12 heures
2 hours	toutes les 2 heures
30 minutes	toutes les 30 minutes
4 hours	toutes les 4 heures
6 hours	toutes les 6 heures
day	tous les jours
Show All Headlines	Show All Headlines
Click to display the headlines in a separate window.	Click to display the headlines in a separate window.
%d messages received from %d people while being Away	En votre absence, %d utilisateurs vous ont envoyé %d messages.
messages %s %s	messages  %s %s
message  %s %s	message  %s %s
AOL Instant Messenger (SM) - Signed Off	AIM, AOL Messager - Deconnecté
AOL Instant Messenger (SM) - Away	AIM, AOL Messager - Absent
1 message received from 1 person while being Away	En votre absence, 1utilisateur vous a envoyé 1 message.
%d messages received from 1 person while being Away	En votre absence, 1 utilisateur vous a envoyé %d messages.
This will automatically take place in %d seconds...	Cela se déclenchera automatiquement dans %d secondes...
<title>Playing Game</title>I am not available because I am playing a computer game that takes up the whole screen.	<title>Playing Game</title>I am not available because I am playing a computer game that takes up the whole screen.
More	Autres
Less	Masquer
http://dynamic.aol.com/cgi/redir?http://www.aol.com/community/chat/chatnav/winchat.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/community/chat/chatnav/winchat.html
Send File...	Envoyer un fichier...
Get File...	Récupérer un fichier...
Close File Connection	Déconnecter
Send File to %s	Envoyer un fichier à %s
Receive File from %s	Fichier envoyé par %s
Receive Files from %s	Fichiers envoyés par %s
Get File from %s	Récupérer un fichier de %s
File Transfer Status - %s	Etat du transfert de fichiers - %s
Select Directory	Sélectionner un dossier
Get File request from %s	Demande de transfert de %s
File to send:   (size %ld bytes)	Fichier à envoyer :   (%ld octets)
Buddy's file:   (size %ld bytes)	Caractéristiques :   (%ld octets)
Buddy's files:  (total %ld bytes in %d files)	Caractéristiques :  (%ld octets pour %d fichiers)
Local directory name	Nom du répertoire d'origine
File to Send	Fichier à envoyer
File to Receive	Fichier à recevoir
All Files	Tous les fichiers
Choose virus checker	Sélectionner un anti-virus
Executable Files	Fichiers exécutables
File Transfer Error	Erreur liée au transfert de fichiers
There is no more room on the disk to write the file <I>%s</I>.	Espace disque insuffisant pour copier le fichier <I>%s</I>.
Could not write to the file: <I>%s</I>	Impossible de copier le fichier : <I>%s</I>
Could not write to the file:\n\n%s\n\nPlease make sure that the file is not\nread-only or open in another application.	Impossible de copier le fichier : %s. Vérifiez que le fichier n'est pas en lecture seule ou déjà ouvert dans une autre application.
The file:\n\n%s\n\ncould not be sent.  It either does not exist at the file path provided \nor is already open in another application. Please check the file path and \nmake sure the file is not in use in another application before resending.	Impossible d'envoyer le fichier %s. Soit il ne figure pas dans le répertoire indiqué, soit il est ouvert dans une autre application. Vérifiez ces deux possibilités avant d'essayer d'envoyer de nouveau le fichier.
The file: <I>%s</I> could not be sent.  It either does not exist at the file path provided or is already open in another application. Please check the file path and make sure the file is not in use in another application before resending.	Impossible d'envoyer le fichier : <I>%s</I>. Soit il ne figure pas dans le répertoire indiqué, soit il est ouvert dans une autre application. Vérifiez ces deux possibilités avant d'essayer d'envoyer de nouveau le fichier.
A file with this name already exists.\nDo you want to resume an aborted transfer?\n(Click No to start a new transfer.)	Il existe déjà un fichier portant le même nom.Voulez-vous poursuivre un transfert interrompu ? (Cliquez sur Non pour initier un nouveau transfert.)
A file with this name\n%s\nalready exists; do you want to replace it?	Il existe déjà un fichier portant le nom %s. Voulez-vous le remplacer ?
About %d minutes remaining  %dKB/sec	Il reste environ %d minutes (%d kilo-octet/seconde)
About 1 minute remaining  %dKB/sec	Il reste environ 1 minute (%d kilo-octet/seconde)
About %d seconds remaining  %dKB/sec	Environ %d secondes de téléchargement (%d kilo-octet/seconde)
The transfer is paused	Le transfert est suspendu
You have signed off from AIM during file transfer.\nYou do not need to be signed onto AIM to continue.\nIf you wish to cancel all current file transfers,\nplease hit the Cancel button below. If you cancel now,\nyou can resume the transfer(s) at another time.	La connexion à AIM a été interrompue pendant le transfert de fichiers. Il n'est pas indispensable d'être connecté à AIM pour finaliser le transfert de fichiers. Pour annuler le transfert de fichiers en cours, cliquez sur Annuler. Si vous annulez le transfert de fichiers maintenant, vous pourrez procéder à l'opération ultérieurement.
The virus checker did not complete successfully when checking the file %s	L'anti-virus a détecté un problème lors de la vérification du fichier %s
The virus checker did not complete successfully when checking the directory %s	L'anti-virus a détecté un problème lors de la vérification du dossier %s
(%ld bytes)	(%ld octets)
%ldK of %ldK	%ldK sur %ldK
%d%%	%d%%
%d of %d files	%d fichiers sur %d
http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/filetransfer/antivirus.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/filetransfer/antivirus.html
<FONT color=#ff0000><B>WARNING!</B></FONT>	<FONT color=#ff0000><B>ATTENTION !</B></FONT>
<FONT color=#000000 SIZE=2>  You have received a file transfer request!  If you don't know who is sending you this file, be cautious; it could contain a computer virus.  Computer viruses can destroy your work and even damage your computer.	<FONT color=#000000 SIZE=2>  Un utilisateur souhaite vous envoyer un fichier. Si vous ne connaissez pas cette personne, soyez prudent. Les fichiers que vous recevez peuvent contenir des virus susceptibles d'altérer vos données et de d'endommager votre ordinateur.
<FONT color=#000000 SIZE=2>  You are about to retrieve a file.  Be cautious; any files you retrieve may contain a computer virus.  Computer viruses can destroy your work and even damage your computer.	<FONT color=#000000 SIZE=2>  Vous vous apprêtez à récupérer un fichier. Soyez prudent. Les fichiers que vous récupérez  peuvent contenir des virus susceptibles d'altérer vos données et de d'endommager votre ordinateur.\r\n
<BR><FONT SIZE=2><B>AOL Instant Messenger (SM) Anti-virus Center:	<BR><FONT SIZE=2><B>Informations sur les virus :
You are currently in the middle of a file transfer operation which will be canceled if you close the IM window. \r\nAre you sure you want to close the IM window?	Si vous fermez la fenêtre de message maintenant, le transfert de fichiers en cours sera interrompu. Voulez-vous vraiment fermer la fenêtre de message ?
%%s wants to get list of files	%%s sollicite la liste des fichiers
%%s wants to get file <I>%s</I>	%%s souhaite récupérer le(s) fichier(s) <I>%s</I>
%%s wants to send file <I>%s</I>	%%s souhaite vous envoyer le(s) fichier(s) <I>%s</I>
%s cancels request; the file will not be sent	%s a annulé sa requête. Le fichier ne sera pas envoyé
%s stops transfer after the current file is received	%s interrompra le transfert après la réception du fichier en cours
%s does not have any files available for download	%s n'a pas de fichiers disponibles en téléchargement
%s's file library does not have the requested file	Le dossier partagé de %s ne contient pas le fichier demandé
%s is not accepting file transfer requests	%s n'accepte pas les transferts de fichiers
%s declined request; the file will not be sent	%s n'accepte pas le transfert. Le fichier ne peut pas être envoyé
%s canceled request; the file will not be sent	%s a annulé le transfert. Le fichier ne sera pas envoyé
%s is online but away; the file will not be sent	%s est en ligne mais momentanément absent. Le fichier ne peut pas être envoyé
%s is online but away and cannot approve your request	%s étant en ligne mais momentanément absent, le transfert ne peut pas être accepté
Connection problem with %s; the file will not be sent	Problème lié à la connexion avec %s. Le fichier ne peut pas être envoyé
%s aborted the file transfer because there was no more disk space	%s a interrompu le transfert de fichiers car le disque est saturé
%s's software could not interpret your request	Le logiciel de %s permet pas de traiter la requête
%s's software does not support file transfer	Le logiciel de %s ne prend pas en charge le transfert de fichiers
%s's software does not support GetFile requests	Le logiciel de %s ne prend pas en charge la récupération de fichiers
%s sent an unrecognized file transfer request	%s a envoyé une demande de transfert de fichiers inconnue
%s has not responded to your request; the file will not be sent	%s n'a pas répondu à votre demande. Le fichier ne sera pas envoyé
The transfer request has timed out; the file will not be sent	Le délai de réponse a expiré. Le fichier ne sera pas envoyé
%%s received <I>%s</I>	%%s a reçu <I>%s</I>
%%s already had the same file <I>%s</I>	%%s avait déjà le fichier <I>%s</I>
%%s received <I>%s</I> but it doesn't agree with original	%%s a reçu <I>%s</I> mais il ne correspond pas à l'original
%%s already had a different file <I>%s</I>	%%s avait déjà un autre fichier <I>%s</I>
%%s stopped transfer prematurely <I>%s</I>	%%s a interrompu le transfert prématurément <I>%s</I>
Waiting for buddy to accept the file transfer...	En attente de recevoir l'autorisation de transfert de la part du contact...
Waiting to connect to buddy...	En attente d'établir la connexion avec le contact...
Trying to connect to buddy...	Tentative de connexion en cours...
Waiting for virus checker to finish...	Vérification des fichiers par l'anti-virus. Veuillez patienter.
This is the list of files you can get from your buddy.  Select \nthe file you want and click the 'Get' button.  Hold down the \nCtrl key while using the mouse button to select several files.	La liste ci-dessous répertorie les fichiers mis à votre disposition. Sélectionnez le fichier voulu et cliquez sur le bouton Récupérer. Pour sélectionner plusieurs fichiers à la fois, maintenez la touche Ctrl enfoncée pendant que vous cliquez sur les fichiers.
%s\r\nwants to get files from your disk directory:\r\n%s\r\n\r\nDo you approve?	%s souhaite accéder au dossier %s de votre disque dur afin d'y récupérer des fichiers. Pour autoriser le transfert, cliquez sur OK.
You already have a file transfer occuring with this buddy.\r\nYou must wait until it is finished before starting another.	Vous avez déjà initié un transfert de fichiers avec ce contact. Attendez la fin de l'opération avant de recommencer.
Content loading...	Chargement du contenu en cours...
Error loading content.	Echec du chargement.
Start Web\nsearch	Lancer la recherche sur le Web
Connect to Send IM Image...	Envoyer une image
- Last Updated:	- Dernière mise à jour :
http://headlines.aim.aol.com/aim/headlines.html	http://headlines.aim.aol.com/aim/headlines.html
No data available . . .	Données non disponibles . . .
Please select a screen name first.	Vous devez d'abord sélectionner un pseudonyme.
CPPHGFGDEGDB	CPPHGFGDEGDB
US United States\r\nAF Afghanistan\r\nAL Albania\r\nDZ Algeria\r\nAS American Samoa\r\nAD Andorra\r\nAO Angola\r\nAI Anguilla\r\nAQ Antarctica\r\nAG Antigua And Barbuda\r\nAR Argentina\r\nAM Armenia\r\nAW Aruba\r\nAU Australia\r\nAT Austria\r\nAZ Azerbaijan\r\nBS Bahamas\r\nBH Bahrain\r\nBD Bangladesh\r\nBB Barbados\r\nBY Belarus\r\nBE Belgium\r\nBZ Belize\r\nBJ Benin\r\nBM Bermuda\r\nBT Bhutan\r\nBO Bolivia\r\nBA Bosnia And Herzegowina\r\nBW Botswana\r\nBV Bouvet Island\r\nBR Brazil\r\nIO British Indian Ocean Ter.\r\nBN Brunei Darussalam\r\nBG Bulgaria\r\nBF Burkina Faso\r\nBI Burundi\r\nKH Cambodia\r\nCM Cameroon\r\nCA Canada\r\nCV Cape Verde\r\nKY Cayman Islands\r\nCF Central African Republic\r\nTD Chad\r\nCL Chile\r\nCN China\r\nCX Christmas Island\r\nCC Cocos (Keeling) Islands\r\nCO Colombia\r\nKM Comoros\r\nCG Congo\r\nCK Cook Islands\r\nCR Costa Rica\r\nCI Cote D'Ivoire\r\nHR Croatia\r\nCU Cuba\r\nCY Cyprus\r\nCZ Czech Republic\r\nDK Denmark\r\nDJ Djibouti\r\nDM Dominica\r\nDO Dominican Republic\r\nTP East Timor\r\nEC Ecuador\r\nEG Egypt\r\nSV El Salvador\r\nGQ Equatorial Guinea\r\nER Eritrea\r\nEE Estonia\r\nET Ethiopia	US United States\r\nAF Afghanistan\r\nAL Albania\r\nDZ Algeria\r\nAS American Samoa\r\nAD Andorra\r\nAO Angola\r\nAI Anguilla\r\nAQ Antarctica\r\nAG Antigua And Barbuda\r\nAR Argentina\r\nAM Armenia\r\nAW Aruba\r\nAU Australia\r\nAT Austria\r\nAZ Azerbaijan\r\nBS Bahamas\r\nBH Bahrain\r\nBD Bangladesh\r\nBB Barbados\r\nBY Belarus\r\nBE Belgium\r\nBZ Belize\r\nBJ Benin\r\nBM Bermuda\r\nBT Bhutan\r\nBO Bolivia\r\nBA Bosnia And Herzegowina\r\nBW Botswana\r\nBV Bouvet Island\r\nBR Brazil\r\nIO British Indian Ocean Ter.\r\nBN Brunei Darussalam\r\nBG Bulgaria\r\nBF Burkina Faso\r\nBI Burundi\r\nKH Cambodia\r\nCM Cameroon\r\nCA Canada\r\nCV Cape Verde\r\nKY Cayman Islands\r\nCF Central African Republic\r\nTD Chad\r\nCL Chile\r\nCN China\r\nCX Christmas Island\r\nCC Cocos (Keeling) Islands\r\nCO Colombia\r\nKM Comoros\r\nCG Congo\r\nCK Cook Islands\r\nCR Costa Rica\r\nCI Cote D'Ivoire\r\nHR Croatia\r\nCU Cuba\r\nCY Cyprus\r\nCZ Czech Republic\r\nDK Denmark\r\nDJ Djibouti\r\nDM Dominica\r\nDO Dominican Republic\r\nTP East Timor\r\nEC Ecuador\r\nEG Egypt\r\nSV El Salvador\r\nGQ Equatorial Guinea\r\nER Eritrea\r\nEE Estonia\r\nET Ethiopia
FK Falkland Islands\r\nFO Faroe Islands\r\nFJ Fiji\r\nFI Finland\r\nFR France\r\nFX France, Metropolitan\r\nGF French Guiana\r\nPF French Polynesia\r\nTF French Southern Ter.\r\nGA Gabon\r\nGM Gambia\r\nGE Georgia\r\nDE Germany\r\nGH Ghana\r\nGI Gibraltar\r\nGR Greece\r\nGL Greenland\r\nGD Grenada\r\nGP Guadeloupe\r\nGU Guam\r\nGT Guatemala\r\nGN Guinea\r\nGW Guinea-Bissau\r\nGY Guyana\r\nHT Haiti\r\nHM Heard And Mcdonald Islands\r\nHN Honduras\r\nHK Hong Kong\r\nHU Hungary\r\nIS Iceland\r\nIN India\r\nID Indonesia\r\nIR Iran\r\nIQ Iraq\r\nIE Ireland\r\nIL Israel\r\nIT Italy\r\nJM Jamaica\r\nJP Japan\r\nJO Jordan\r\nKZ Kazakhstan\r\nKE Kenya\r\nKI Kiribati\r\nKP Korea, Democratic People's Republic Of\r\nKR Korea, Republic Of\r\nKW Kuwait\r\nKG Kyrgyzstan\r\nLA Lao\r\nLV Latvia\r\nLB Lebanon\r\nLS Lesotho\r\nLR Liberia\r\nLY Libyan Arab Jamahiriya\r\nLI Liechtenstein\r\nLT Lithuania\r\nLU Luxembourg\r\nMO Macau\r\nMK Macedonia\r\nMG Madagascar\r\nMW Malawi\r\nMY Malaysia\r\nMV Maldives\r\nML Mali\r\nMT Malta\r\nMH Marshall Islands\r\nMQ Martinique\r\nMR Mauritania\r\nMU Mauritius\r\nYT Mayotte\r\nMX Mexico\r\nFM Micronesia, Federated States\r\nMD Moldova\r\nMC Monaco\r\nMN Mongolia\r\nMS Montserrat\r\nMA Morocco\r\nMZ Mozambique\r\nMM Myanmar	Finlande Irlande Italie Japon Luxembourg Mexique
NA Namibia\r\nNR Nauru\r\nNP Nepal\r\nNL Netherlands\r\nAN Netherlands Antilles\r\nNC New Caledonia\r\nNZ New Zealand\r\nNI Nicaragua\r\nNE Niger\r\nNG Nigeria\r\nNU Niue\r\nNF Norfolk Island\r\nMP Northern Mariana Islands\r\nNO Norway\r\nOM Oman\r\nPK Pakistan\r\nPW Palau\r\nPA Panama\r\nPG Papua New Guinea\r\nPY Paraguay\r\nPE Peru\r\nPH Philippines\r\nPN Pitcairn\r\nPL Poland\r\nPT Portugal\r\nPR Puerto Rico\r\nQA Qatar\r\nRE Reunion\r\nRO Romania\r\nRU Russian Federation\r\nRW Rwanda\r\nKN Saint Kitts And Nevis\r\nLC Saint Lucia\r\nVC Saint Vincent And Grenadines\r\nWS Samoa\r\nSM San Marino\r\nST Sao Tome And Principe\r\nSA Saudi Arabia\r\nSN Senegal\r\nSC Seychelles\r\nSL Sierra Leone\r\nSG Singapore\r\nSK Slovakia\r\nSI Slovenia\r\nSB Solomon Islands\r\nSO Somalia\r\nZA South Africa\r\nGS South Georgia, S. Sandwich\r\nES Spain\r\nLK Sri Lanka\r\nSH St. Helena\r\nPM St. Pierre And Miquelon\r\nSD Sudan\r\nSR Suriname\r\nSJ Svalbard, Jan Mayen Islands\r\nSZ Swaziland\r\nSE Sweden\r\nCH Switzerland\r\nSY Syrian Arab Republic	NA Namibia\r\nNR Nauru\r\nNP Nepal\r\nNL Netherlands\r\nAN Netherlands Antilles\r\nNC New Caledonia\r\nNZ New Zealand\r\nNI Nicaragua\r\nNE Niger\r\nNG Nigeria\r\nNU Niue\r\nNF Norfolk Island\r\nMP Northern Mariana Islands\r\nNO Norway\r\nOM Oman\r\nPK Pakistan\r\nPW Palau\r\nPA Panama\r\nPG Papua New Guinea\r\nPY Paraguay\r\nPE Peru\r\nPH Philippines\r\nPN Pitcairn\r\nPL Poland\r\nPT Portugal\r\nPR Puerto Rico\r\nQA Qatar\r\nRE Reunion\r\nRO Romania\r\nRU Russian Federation\r\nRW Rwanda\r\nKN Saint Kitts And Nevis\r\nLC Saint Lucia\r\nVC Saint Vincent And Grenadines\r\nWS Samoa\r\nSM San Marino\r\nST Sao Tome And Principe\r\nSA Saudi Arabia\r\nSN Senegal\r\nSC Seychelles\r\nSL Sierra Leone\r\nSG Singapore\r\nSK Slovakia\r\nSI Slovenia\r\nSB Solomon Islands\r\nSO Somalia\r\nZA South Africa\r\nGS South Georgia, S. Sandwich\r\nES Spain\r\nLK Sri Lanka\r\nSH St. Helena\r\nPM St. Pierre And Miquelon\r\nSD Sudan\r\nSR Suriname\r\nSJ Svalbard, Jan Mayen Islands\r\nSZ Swaziland\r\nSE Sweden\r\nCH Switzerland\r\nSY Syrian Arab Republic
TW Taiwan, Province Of China\r\nTJ Tajikistan\r\nTZ Tanzania, United Republic Of\r\nTH Thailand\r\nTG Togo\r\nTK Tokelau\r\nTO Tonga\r\nTT Trinidad And Tobago\r\nTN Tunisia\r\nTR Turkey\r\nTM Turkmenistan\r\nTC Turks And Caicos Islands\r\nTV Tuvalu\r\nUG Uganda\r\nUA Ukraine\r\nAE United Arab Emirates\r\nGB United Kingdom\r\nUS United States\r\nUM United States Minor Outlying Islands\r\nUY Uruguay\r\nUZ Uzbekistan\r\nVU Vanuatu\r\nVA Vatican City State (Holy See)\r\nVE Venezuela\r\nVN Viet Nam\r\nVG Virgin Islands (British)\r\nVI Virgin Islands (U.S.)\r\nWF Wallis And Futuna Islands\r\nEH Western Sahara\r\nYE Yemen\r\nYU Yugoslavia\r\nZR Zaire\r\nZM Zambia\r\nZW Zimbabwe\r\n	TW Taiwan, Province Of China\r\nTJ Tajikistan\r\nTZ Tanzania, United Republic Of\r\nTH Thailand\r\nTG Togo\r\nTK Tokelau\r\nTO Tonga\r\nTT Trinidad And Tobago\r\nTN Tunisia\r\nTR Turkey\r\nTM Turkmenistan\r\nTC Turks And Caicos Islands\r\nTV Tuvalu\r\nUG Uganda\r\nUA Ukraine\r\nAE United Arab Emirates\r\nGB United Kingdom\r\nUS United States\r\nUM United States Minor Outlying Islands\r\nUY Uruguay\r\nUZ Uzbekistan\r\nVU Vanuatu\r\nVA Vatican City State (Holy See)\r\nVE Venezuela\r\nVN Viet Nam\r\nVG Virgin Islands (British)\r\nVI Virgin Islands (U.S.)\r\nWF Wallis And Futuna Islands\r\nEH Western Sahara\r\nYE Yemen\r\nYU Yugoslavia\r\nZR Zaire\r\nZM Zambia\r\nZW Zimbabwe\r\n
Play "%s"	Lecture "%s"
Open "%s"	Ouvrir "%s"
Select Buddy Icon...	Attribuer une icône à un contact...
Start to Make IM Images Connection with %s	Initier le transfert d'images avec %s
Accept IM Images Connection from %s	Accepter le transfert d'images avec %s
Rendezvous Error	Rendezvous Error
Must fill in the data field	Saisie du champ obligatoire
Send IM Images	Envoyer une image
Close IM Images	Quitter le transfert d'images
%s wants to directly connect	%s souhaite établir une connexion directe
%s cancels request; no connection was made	%s a annulé sa requête. La connexion n'a pas été établie
%s ignores request; no connection was made	%s n'a pas répondu à la requête. La connexion n'a pas été établie
%s declines request; no connection was made	%s a décliné la requête. La connexion n'a pas été établie
%s cancels request; no connection was made	%s a annulé la requête. La connexion n'a pas été établie
%s is online but away; no connection was made	%s est en ligne mais absent(e). La connexion n'a pas été établie
%s's software can not handle your request	Cette fonction n'est pas prise en charge par le logiciel de %s
%s's software could not interpret your request	Le logiciel de %s ne permet pas de traiter la requête
%s has not responded; no connection was made	%s n'a pas répondu à votre requête. La connexion n'a pas été établie
%s has cancelled request due to no response from you; no connection was made	%s a annulé sa requête, votre réponse ne lui étant pas parvenue. La connexion n'a pas été établie
%s is now directly connected	Vous êtes actuellement en connexion directe avec %s
Connection problem with %s; no connection was made	La connexion directe avec %s a échoué
The image you have selected is too big.\r\nThe maximum size allowed is %ld bytes.	L'image sélectionnée est trop grande. La taille du fichier ne doit pas excéder %ld octets.
Choose Buddy Icon Image	Sélectionner une icône
Graphic Files (*.gif,*.jpg,*.bmp,*.ico,*.xbm)|*.gif;*.jpg;*.bmp;*.ico;*.xbm|	Fichiers graphiques (*.gif,*.jpg,*.bmp,*.ico,*.xbm)|*.gif;*.jpg;*.bmp;*.ico;*.xbm|
The file you have selected is not an image.	Le fichier que vous avez sélectionné n'est pas une image.
Do you really want to clear the selected Buddy Icon?	Voulez-vous vraiment supprimer l'icône attribuée au contact sélectionné ?
Do you really want to clear all of the Buddy Icons?	Voulez-vous vraiment supprimer l'ensemble des icônes attribuées aux contacts ?
Confirm action	Valider
Select Buddy Icon	Attribuer une icône à un contact
Buddy Icon for selected buddy:	Icône pour le contact sélectionné :
Default Icon for selected group:	Icône pour le groupe sélectionné :
Your Icon to send to buddies	Votre icône (envoyée à vos contacts) :
