New	Neu
Insert in personal profile only	Nur in persönliches Profil einfügen
Hide IM windows while I'm Away	Bei Abwesenheit Telegramm-Fenster ausblenden
Disable sounds while I'm Away	Bei Abwesenheit Töne deaktivieren
Away messages:	Abwesenheits-Mitteilungen:
Labels for menu:	Titel für Menü:
Text for selected label:	Text für gewählten Titel:
Add Message	Neue Mitteilung
Current Away Message	Abwesenheits-Mitteilung
The following Away message has been set.	Die folgende Abwesenheits-Mitteilung wurde eingerichtet.
The following Away message has been set.  It will be sent to any member who sends you an IM.	Die folgende Abwesenheits-Mitteilung wurde eingerichtet. Sie wird an alle Mitglieder geschickt, die Ihnen ein Telegramm schicken.
Because the Accept Message dialog is enabled, the following will only be sent to users on your Buddy List.	Da der Mitteilung annehmen-Dialog aktiviert ist, wird folgende Mitteilung nur an die Benutzer auf Ihrer Buddy-Liste geschickt.
Received	Empfangen
Click the 'I'm Back' button to quit being Away	Klicken Sie auf die Schaltfläche "Ich bin zurück", um Ihre Abwesenheit aufzuheben.
I'm Back	Ich bin zurück
Edit Away Message	Abwesenheits-Mitteilung bearbeiten
Enter label:	Titel:
Enter new Away message:	Neue Abwesenheits-Mitteilung:
Special Characters:	Sonderzeichen:
%n	%n
= Screen name of buddy	= AIM-Name des Buddys
%d	%d
= Current date	= Aktuelles Datum
%t	%t
= Current time	= Aktuelle Uhrzeit
Save for later use	Speichern zur späteren Verwendung
Connection	Verbindung
Server	Server
Host:	Host:
Port:	Port:
Connect using proxy	Verbindung über Proxyserver
Proxy Server	Proxyserver
Protocol	Protokoll
SOCKS 4	SOCKS 4
SOCKS 5	SOCKS 5
HTTPS	HTTPS
Authentication	Authentifizierung
Username:	Benutzername:
Password:	Passwort:
Use proxy to resolve hostnames	Proxy verwenden, um Hostnamen aufzulösen
Some HTTPS servers may disconnect you from AOL Instant Messenger without warning.	Manche HTTPS-S können Ihre Verbindung mit dem AOL Instant Messenger ohne Vorwarnung abbrechen.
Reconnect automatically	Automatisch neuverbinden
Display reconnect dialog	Neuverbindungsdialog anzeigen
Auto Configure...	Auto-Konfiguration
Automatic Configuration	Automatische Konfiguration
AOL Instant Messenger (SM) can automatically analyze your network and configure itself to connect to a server.  Use this feature if the default connection settings do not work.	AOL Instant Messenger(SM) kann Ihr Netzwerk automatisch analysieren und sich selbst für die Verbindung zu einem Server konfigurieren. Verwenden Sie diese Funktion, wenn die standardmäßigen Verbindungseinstellungen nicht funktionieren.
Click "OK" to begin the configuration process.  Before doing so, make sure that your computer is connected to the Internet, either by connecting it to your company's internal network or by dialing in to your Internet service provider.	Klicken Sie auf "OK", um den Konfigurationsprozeß zu starten. Vorher ist sicherzustellen, daß eine Internetverbindung besteht, entweder indem Sie eine Verbindung zum internen Unternehmensnetzwerk herstellen, oder indem Sie Ihren Internet-Serviceprovider anrufen.
This process can take several minutes.  During the process, a dialog showing its progress will be presented.  You will have the opportunity to cancel at any time.	Dieser Vorgang kann mehrere Minuten dauern. Währenddessen wird eine Fortschrittsanzeige angezeigt. Sie haben zu jedem Zeitpunkt die Möglichkeit, den Vorgang abzubrechen.
Automatic Configuration - SUCCEEDED!	Automatische Konfiguration - ERFOLGREICH!
Click "OK" to update the Connection dialog to reflect the new configuration.   Then click either "OK" or "Apply" in the Connection dialog to save the configuration.	Klicken Sie auf "OK", um den Verbindungsdialog mit der neuen Konfiguration zu aktualisieren.  Klicken Sie anschließend auf "OK" oder "Anwenden" im Verbindungsdialog, um die Konfiguration zu speichern.
AOL Instant Messenger (SM) has successfully located a server that is accessible from your computer.	AOL Instant Messenger(SM) hat erfolgreich einen Server ermittelt, auf den Sie von Ihrem Computer aus zugreifen können.
Automatic Configuration - FAILED!	Automatische Konfiguration - GESCHEITERT!
AOL Instant Messenger (SM) was unable to establish a connection to a server.	AOL Instant Messenger(SM) war nicht in der Lage, eine Verbindung zu einem Server herzustellen.
If your organization connects to the Internet through a firewall, you may need to configure AOL Instant Messenger (SM) to connect through a SOCKS or HTTPS proxy server.	Falls Ihr Unternehmen durch eine Firewall Verbindungen zum Internet herstellt, müssen Sie AOL Instant Messenger(SM) möglicherweise dahingehend konfigurieren, daß es die Verbindung über einen SOCKS- oder HTTPS-Proxyserver herstellt.
Contact your network administrator for details on how to fill out the Proxy section of the Connection dialog.	Angaben, wie Sie den Proxy-Abschnitt des Verbindungsdialogs ausfüllen, erhalten Sie von Ihrem Netzwerkadministrator.
AOL Instant Messenger (SM) is analyzing your network.  Please wait...	AOL Instant Messenger(SM) analysiert Ihr Netzwerk.  Bitte warten..
Attempting to connect to:	Verbindungsversuch zu:
Software Upgrade Required	Softwareupgrade erforderlich
Upgrade	Upgrade
You are running an obsolete version of AOL Instant Messenger (SM).  In order to sign on, you must first upgrade your software to the latest version.	Sie verwenden eine veraltete Version von AOL Instant Messenger(SM). Bevor Sie sich anmelden können, müssen Sie Ihre Software zunächst auf die neueste Version aufrüsten.
To upgrade now, click the Upgrade button below.  To exit without upgrading, click the Exit button.	Um jetzt aufzurüsten, klicken Sie auf die Schaltfläche "Upgrade". Klicken Sie auf "Beenden", wenn Sie den Vorgang abbrechen wollen.
Software Upgrade Recommended	Softwareupgrade empfohlen
Continue	Weiter
You are running an out-of-date version of AOL Instant Messenger (SM).  Although you may continue to use this version, we recommend that you upgrade to the current version to obtain the latest features and bug fixes.	Sie verwenden eine ältere Version von AOL Instant Messenger(SM). Wenngleich Sie weiter mit dieser Version arbeiten können, empfehlen wir, daß Sie auf die neueste Version aufrüsten, um die neusten Funktionsmerkmale und Bugfixes zu erhalten.
To upgrade, click the Upgrade button below.  To continue signing on, click the Continue button.	Um jetzt aufzurüsten, klicken Sie auf die Schaltfläche "Upgrade". Klicken Sie auf "Weiter", wenn Sie mit dem Anmeldevorgang fortfahren wollen.
System Bulletin	System Bulletin
A bulletin containing information about the AOL Instant Messenger (SM) system is available.	Ein Bulletin mit Informationen über den AOL Instant Messenger(SM) ist jetzt erhältlich.
To view the bulletin now, click the View button below. To continue without viewing the bulletin, click Cancel.	Um das Bulletin jetzt anzuzeigen, klicken Sie auf die Schaltfläche "Anzeigen". Klicken Sie auf "Abbrechen", wenn Sie ohne Anzeige des Bulletins fortfahren wollen.
AOL Instant Messenger (SM) Error	AOL Instant Messenger(SM) - Fehler
Unknown error	Unbekannter Fehler
More Info	Mehr Infos
Invalid nickname or password	Ungültiger Rufname oder Passwort
Yes! Sign Me Up	Anmelden
Tell Me More	Mehr Infos
FREE Software for Instant Communication\nAcross the Internet!\n\nNew! AOL Instant Messenger	KOSTENLOSE Software für sofortige Kommunikation\nÜber das gesamte Internet!\n\nNeu! AOL Instant Messenger
Best of all there's no download.  It's already installed on your computer and it's FREE!  Sign Up Today!\n\nWith the AOL Instant Messenger (SM) service, you can...	Sie müssen noch nicht einmal eine Datei herunterladen. Das System ist bereits auf Ihrem Computer installiert und KOSTENFREI! Melden Sie sich noch heute an!\n\nDer AOL Instant Messenger(SM)-Service öffnet den Weg zu...
- Communicate Instantly.\n\n- It's Fast, Easy, Fun and Free!\n\n- Keep in Touch with Friends, Family and Business Associates.\n\n- Hold Private Conversations any time - Day or Night.\n\n- Use it with any Internet Connection.	- Sofortkommunikation.\n\n- Er ist schnell, einfach, macht Spaß und kostet nichts!\n\n- Halten Sie den Kontakt mit Freunden, Familie und Kollegen aufrecht.\n\n- Sie können auch rund um die Uhr private Gespräche führen.\n\n- Es reicht eine Internetverbindung.
Try the new AOL Instant Messenger (SM) service.  It's the new way to exchange\ninstant messages with family, friends and colleagues no matter how they're connected to the Internet.\n\nIt's easy, it's private and best of all -- It's FREE!  Sign up now!	Probieren Sie den neuen AOL Instant Messenger(SM)-Service aus. Er ist die neue Art, \nTelegramme mit Familie, Freunden und Kollegen direkt auszutauschen, egal wie diese mit dem Internet verbunden sind.\n\nEr ist einfach in der Anwendung, privat und kostet nichts! Registrieren Sie jetzt sofort!
Don't show this dialog again	Diese Seite nicht mehr anzeigen
Network Connection	Netzwerkverbindung
What type of network connection do you use?	Welche Netzwerkverbindung nutzen Sie?
Dial-up modem	Modem/ISDN
Local Area Network or cable modem	Lokales Netzwerk
AOL Instant Messenger (SM) Screen Name	AOL Instant Messenger(SM) - AIM-Name
If you are an AOL member, use your AOL screen name for the AOL Instant Messenger (SM) service.  Otherwise, you will need to register a new screen name.	Als AOL-Mitglied können Sie Ihren AOL AIM-Namen für den AOL Instant Messenger(SM)-Service verwenden. Andernfalls müssen Sie einen neuen AIM-Namen registrieren.
If you already have an AIM screen name and don't want to register a new one, press Cancel.	Falls Sie bereits einen AIM-Namen besitzen und keinen neuen registrieren wollen, klicken Sie auf "Abbrechen".
Sign on a Friend Today!	Melden Sie heute einen Freund an!
Chat instantly with any of your friends who have Internet access - it's FREE!  Just fill in the form below and we will send your friend a personalized invitation with all the information they need to try AOL Instant Messenger today!	Chatten Sie sofort mit einem Freund, der Internetzugriff besitzt - ganz kostenlos! Füllen Sie einfach das nachstehende Formular aus, und wir schicken Ihrem Freund noch heute eine persönliche Einladung mit allen Informationen, die zum Ausprobieren von AOL Instant Messenger nötig sind!
Please enter your friend's e-mail address (only one address allowed)\r\n(for example, name@company.com):	Geben Sie die eMail-Adresse Ihres Freundes (nur eine Adresse zulässig) ein\r\n(z. B. name@company.com):
Add your own personalized greeting or message below:	Fügen Sie nachstehend Ihren persönlichen Gruß oder eine Mitteilung ein:
As soon as your friend has registered, we will notify you of their screen name, and automatically add it to your Buddy List window.  You'll always know who's online!  Staying in touch couldn't be easier!	Sobald Ihr Freund registriert ist, werden wir Ihnen dessen AIM-Namen mitteilen und ihn automatisch zu Ihrer Buddy-Liste hinzufügen. Sie wissen stets, wer online ist. So einfach war es noch nie, in Verbindung zu bleiben!
Your personalized invitation has been sent to:	Ihre persönliche Einladung ging an:
your Internet friend.	Ihren Internet-Freund.
You will also receive a copy of this personalized invitation.	Sie erhalten ebenfalls eine Kopie dieser persönlichen Einladung.
As soon as your friend registers, we will notify you of their screen name, and automatically add it to your Buddy List window.  You can then chat instantly!	Sobald Ihr Freund registriert ist, werden wir Ihnen dessen AIM-Namen mitteilen und ihn automatisch zu Ihrer Buddy-Liste hinzufügen. Danach können Sie sofort chatten!
Click the Back button below to add more friends!	Klicken Sie auf die Schaltfläche "Zurück", um weitere Freunde hinzuzufügen!
Sign On a Friend	Einen Freund anmelden
Your request to Sign On a Friend was not able to be processed.  Please send your buddy mail directly telling them about AOL Instant Messenger.  Click the Finish button to close this window.	Ihre Anfrage, einen Freund anzumelden, konnte nicht verarbeitet werden. Schicken Sie Ihrem Buddy direkt eine eMail über AOL Instant Messenger. Klicken Sie auf "Fertig stellen", um dieses Fenster zu schließen.
Find a Buddy by E-mail Address	Buddy per eMail-Adresse suchen
Type your Internet friend's e-mail address below to find out if your friend is a member of the Instant Messenger(SM) service!	Geben Sie unten die eMail-Adresse Ihres Freundes ein, um herauszufinden, ob er bereits Teilnehmer des Instant Messenger(SM)-Service ist!
Click the Next button to continue.	Wählen Sie "Weiter", um fortzufahren.
Your Internet friend has registered the screen names listed to the right.  To add one of the screen names to your Buddy List, complete the following steps:	Ihr Freund hat die aufgelisteten AIM-Namen registriert. \\nWählen Sie einen Namen für die Liste Ihrer Buddies aus:
Click the Finish button when you are done adding screen names.	Klicken Sie "Fertig stellen", wenn Sie keine Namen mehr hinzufügen möchten.
Click the Back button to look up another friend.	Wählen Sie "Zurück", um weiterzusuchen.
Your Internet friend has registered under that e-mail address, but does not wish to reveal his or her screen name.  Please send e-mail to your friend to ask for his or her AOL Instant Messenger screen name.	Ihr Internet-Freund hat sich unter dieser eMail-Adresse registriert, möchte jedoch seinen AIM-Namen nicht preißgeben. Bitte schicken Sie ihm eine eMail, und fragen Sie ihn nach seinem AOL Instant Messenger AIM-Namen.
We could not locate an AOL Instant Messenger(SM) member with the e-mail address you entered.	Wir konnten kein AOL Instant Messenger(SM)-Teilnehmer mit der angegebenen eMail-Adresse ermitteln.
If you want to be able to communicate with your friend, then click the Next button and you'll be able to send your friend a personalized invitation to join AIM!	Falls Sie mit Ihrem Freund kommunizieren können möchten, klicken Sie auf die Schaltfläche "Weiter". Sie können ihm dann ein persönliche Einladung schicken, AIM beizutreten!
Please Wait	Bitte warten
Please wait while we send the request to the host...	Bitte warten Sie, Ihre Anfrage wird an den Host geschickt...
An unknown error occurred.  Please try again later.	Ein unbekannter Fehler ist aufgetreten. Bitte versuchen Sie es später noch einmal.
Unable to Process Request	Anfrage konnte nicht verarbeitet werden.
You cannot use this feature because you are not a confirmed AOL Instant Messenger(SM) user.	Sie können diese Funktion nicht verwenden, weil Sie kein bestätigter AOL Instant Messenger(SM)-Benutzer sind.
Send Me Confirmation Mail...	Schicken Sie mir eine Bestätigungsmitteilung...
If you wish to become a registered user, click the button below.  You will be sent e-mail requesting you to reply so that we may verify your account.	Um ein registrierter Benutzer zu werden, klicken Sie auf die folgende Schaltfläche. Sie erhalten daraufhin eine eMail, die Sie beantworten müssen, damit wir Ihren Zugang bestätigen können.
Rate Limited	Überschrittene Warngrenze
You cannot use the Find a Buddy feature at this time because you are over the rate limit. Please try again later.	Ihre Warngrenze ist überschritten. Sie können aus diesem Grund die Funktion "Buddy suchen" zur Zeit nicht verwenden. Bitte versuchen Sie es später noch einmal.
